基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费,scale,m_fee,c_fee,sale_fee,sub_fee
010226,BSSJXCYQZQB,债券型,博时双季享持有期债券B,1.0046,1.0046,1.0042,1.0042,0.0004,0.04,开放申购,暂停赎回,0.00%,0.01,0.3,0.05,0.3,0.00
010227,BSSJXCYQZQC,债券型,博时双季享持有期债券C,1.0044,1.0044,1.0040,1.0040,0.0004,0.04,开放申购,暂停赎回,0.00%,12.58,0.3,0.05,0.35,0.00
010232,GSABTACZZQ,债券型,国寿安保泰安纯债债券,1.0028,1.0028,1.0027,1.0027,0.0001,0.01,开放申购,开放赎回,0.80%,2.0,0.3,0.1,0.0,0.80
010309,DBRYLLZZQA,债券型,德邦锐裕利率债债券A,1.0026,1.0026,1.0019,1.0019,0.0007,0.07,开放申购,开放赎回,0.08%,4.6,0.3,0.1,0.0,0.08
010310,DBRYLLZZQC,债券型,德邦锐裕利率债债券C,1.0161,1.0161,1.0154,1.0154,0.0007,0.07,开放申购,开放赎回,0.00%,0.4,0.3,0.1,0.25,0.00
010324,GFZCDZZQE,债券型,广发招财短债债券E,1.0320,1.0350,1.0319,1.0349,0.0001,0.01,开放申购,开放赎回,0.00%,0.0,0.3,0.1,0.05,0.00
010397,ZJRHCZZQ,债券型,中加瑞合纯债债券,1.0067,1.0067,1.0060,1.0060,0.0007,0.07,开放申购,开放赎回,0.80%,37.0,0.3,0.1,0.0,0.80
010406,AXZZ13NZCXJRZA,债券指数,安信中债1-3年政策性金融债A,1.0068,1.0068,1.0063,1.0063,0.0005,0.05,开放申购,开放赎回,0.60%,25.0,0.15,0.05,0.0,0.60
010407,AXZZ13NZCXJRZC,债券指数,安信中债1-3年政策性金融债C,1.0943,1.0943,1.0938,1.0938,0.0005,0.05,开放申购,开放赎回,0.00%,1.0,0.15,0.05,0.1,0.00
010497,GDZZ15NZJZ,债券指数,光大中债1-5年政金债,1.0016,1.0016,1.0016,1.0016,0,0.00,开放申购,开放赎回,0.50%,70.06,0.15,0.05,0.0,0.50
010510,GY14TLCZQFQC,债券型,工银14天理财债券发起C,1.0204,1.0204,1.0204,1.0204,0,0.00,开放申购,开放赎回,0.00%,0.0,0.27,0.08,0.35,0.00
