,净值日期,累计净值,单位净值,日增长率,复权净值,相对净值
3845,2021-06-10,3.3893,1.2701,0.69,5.9265368629352135,0.3255999000327362
3846,2021-06-11,3.3799,1.2607,-0.74,5.882680490149493,0.315790460772494
3847,2021-06-15,3.3665,1.2473,-1.06,5.820324076953908,0.30184308188830555
3848,2021-06-16,3.3471,1.2279,-1.56,5.7295270213534275,0.281534329810848
3849,2021-06-17,3.3527,1.2335,0.46,5.755882845651653,0.28742938772797794
3850,2021-06-18,3.3533,1.2341,0.05,5.758760787074479,0.28807310242184186
3851,2021-06-21,3.3505,1.2313,-0.23,5.745515637264208,0.28511053428627164
3852,2021-06-22,3.3579,1.2387,0.6,5.779988731087793,0.29282119749198937
3853,2021-06-23,3.3638,1.2446,0.48,5.807732676997015,0.2990267392399509
3854,2021-06-24,3.3661,1.2469,0.18,5.818186595815609,0.30136498737058276
3855,2021-06-25,3.3862,1.267,1.61,5.9118594000082405,0.32231696366724916
3856,2021-06-28,3.3889,1.2697,0.21,5.924274304748257,0.32509382929095026
3857,2021-06-29,3.3756,1.2564,-1.05,5.862069424548401,0.31118034408339534
3858,2021-06-30,3.3839,1.2647,0.66,5.90075908275042,0.3198341343543456
3859,2021-07-01,3.3852,1.266,0.1,5.90665984183317,0.32115396848869987
3860,2021-07-02,3.3512,1.232,-2.69,5.747770692087857,0.2856149267363538
3861,2021-07-05,3.3523,1.2331,0.09,5.7529436857107354,0.28677198017041633
3862,2021-07-06,3.3525,1.2333,0.02,5.754094274447877,0.2870293345664503
3863,2021-07-07,3.3661,1.2469,1.1,5.817389311466803,0.3011866572466811
3864,2021-07-08,3.3545,1.2353,-0.93,5.763287590870162,0.28908562133428695
3865,2021-07-09,3.3512,1.232,-0.27,5.747726714374812,0.2856050901566843
3866,2021-07-12,3.366,1.2468,1.2,5.81669943494731,0.3010323512385646
3867,2021-07-13,3.3697,1.2505,0.3,5.834149533252151,0.30493544829228003
3868,2021-07-14,3.356,1.2368,-1.1,5.769973888386377,0.29058115836106496
3869,2021-07-15,3.372,1.2528,1.29,5.844406551546561,0.3072296553039225
3870,2021-07-16,3.3597,1.2405,-0.98,5.787131367341404,0.294418804681944
3871,2021-07-19,3.364,1.2448,0.35,5.807386327127099,0.2989492704983308
3872,2021-07-20,3.3631,1.2439,-0.07,5.80332115669811,0.29804000600898195
3873,2021-07-21,3.3717,1.2525,0.69,5.843364072679327,0.3069964820504439
3874,2021-07-22,3.3736,1.2544,0.15,5.852129118788346,0.30895697677351963
3875,2021-07-23,3.3593,1.2401,-1.14,5.785414846834159,0.29403486723830147
3876,2021-07-26,3.3213,1.2021,-3.06,5.608381152521034,0.25443740030080947
3877,2021-07-27,3.2812,1.162,-3.34,5.4210612220268315,0.21253919113076253
3878,2021-07-28,3.2834,1.1642,0.19,5.431361238348683,0.21484301559391109
3879,2021-07-29,3.3044,1.1852,1.8,5.52912574063896,0.23671018987460157
3880,2021-07-30,3.2957,1.1765,-0.73,5.488763122732295,0.22768220548851695
3881,2021-08-02,3.3241,1.2049,2.41,5.621042313990143,0.2572693466407902
3882,2021-08-03,3.3243,1.2051,0.02,5.622166522452941,0.25752080051011833
3883,2021-08-04,3.3346,1.2154,0.85,5.669954937893791,0.26820972731445425
3884,2021-08-05,3.3276,1.2084,-0.58,5.6370691992540065,0.26085411089603033
3885,2021-08-06,3.3215,1.2023,-0.5,5.608883853257736,0.2545498403415501
3886,2021-08-09,3.3364,1.2172,1.24,5.678434013038132,0.27010625836178526
3887,2021-08-10,3.3496,1.2304,1.08,5.739761100378943,0.28382340595209243
3888,2021-08-11,3.3432,1.224,-0.52,5.7099143426569725,0.27714752424114153
3889,2021-08-12,3.3336,1.2144,-0.78,5.665377010784248,0.2671857735520605
3890,2021-08-13,3.3273,1.2081,-0.52,5.635917050328169,0.26059640752958974
3891,2021-08-16,3.3265,1.2073,-0.07,5.63197190839294,0.25971399004431905
3892,2021-08-17,3.3026,1.1834,-1.98,5.520458864606759,0.23477165304144149
3893,2021-08-18,3.3158,1.1966,1.12,5.582288003890356,0.2486010955555058
3894,2021-08-19,3.3084,1.1892,-0.62,5.547677818266235,0.24085976876306164
3895,2021-08-20,3.2873,1.1681,-1.77,5.449483920882923,0.21889655085595539
3896,2021-08-23,3.3037,1.1845,1.4,5.525776695775284,0.23596110256793887
3897,2021-08-24,3.3159,1.1967,1.03,5.582692195741769,0.24869150192438857
3898,2021-08-25,3.3187,1.1995,0.23,5.595532387791975,0.2515634923788146
3899,2021-08-26,3.2963,1.1771,-1.87,5.490895932140265,0.22815925507133067
3900,2021-08-27,3.3022,1.183,0.5,5.518350411800966,0.23430005134668724
3901,2021-08-30,3.2989,1.1797,-0.28,5.502899030647923,0.23084401120291645
3902,2021-08-31,3.2971,1.1779,-0.15,5.494644682101951,0.22899774518611213
3903,2021-09-01,3.3121,1.1929,1.27,5.564426669564646,0.2446060165499757
3904,2021-09-02,3.3121,1.1929,0.0,5.564426669564646,0.2446060165499757
3905,2021-09-03,3.3059,1.1867,-0.52,5.53549165088291,0.23813406526391592
3906,2021-09-06,3.327,1.2078,1.78,5.6340234022686255,0.2601728516256136
3907,2021-09-07,3.3408,1.2216,1.14,5.698251269054488,0.27453882213414565
3908,2021-09-08,3.3359,1.2167,-0.4,5.67545826397827,0.2694406668456091
3909,2021-09-09,3.3354,1.2162,-0.04,5.673188080672679,0.2689328905788708
3910,2021-09-10,3.3456,1.2264,0.84,5.720842860550329,0.2795919268597333
3911,2021-09-13,3.3404,1.2212,-0.42,5.696815320536018,0.2742176407669225
3912,2021-09-14,3.3232,1.204,-1.41,5.61649022451646,0.2562511720321089
3913,2021-09-15,3.3116,1.1924,-0.96,5.562571918361102,0.2441911607806006
3914,2021-09-16,3.2978,1.1786,-1.16,5.498046084108113,0.22975854331554557
3915,2021-09-17,3.3091,1.1899,0.96,5.550827326515551,0.24156422533137495
3916,2021-09-22,3.3012,1.182,-0.66,5.514191866160549,0.2333699014441879
3917,2021-09-23,3.3084,1.1892,0.61,5.547828436544128,0.24089345784299737
3918,2021-09-24,3.3076,1.1884,-0.07,5.543944956638547,0.24002483242250722
