基金代码,拼音缩写,基金类型,基金简称,2021-01-13-单位净值,2021-01-13-累计净值,2021-01-12-单位净值,2021-01-12-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
161033,FGZZZNQCLOF,股票指数,富国中证智能汽车(LOF),1.8470,1.8470,1.8490,1.8490,-0.0020,-0.11,开放申购,开放赎回,0.12%
161035,FGZZYYZTZSZQ,股票指数,富国中证医药主题指数增强,2.1760,2.1760,2.2080,2.2080,-0.0320,-1.45,开放申购,开放赎回,0.12%
161036,FGZZYLZTZSZQX,股票指数,富国中证娱乐主题指数增强型,0.8301,0.8301,0.8337,0.8337,-0.0036,-0.43,开放申购,开放赎回,0.12%
161037,FGZZGDZZZSZQX,股票指数,富国中证高端制造指数增强型,2.1346,2.1346,2.1212,2.1212,0.0134,0.63,开放申购,开放赎回,0.12%
161038,FGXXCZLHJXHH,混合型,富国新兴成长量化精选混合,1.3397,1.3397,1.3362,1.3362,0.0035,0.26,限大额,开放赎回,0.15%
161039,FGZZ1000ZSZQ,股票指数,富国中证1000指数增强,1.6892,1.6892,1.6883,1.6883,0.0009,0.05,开放申购,开放赎回,0.12%
161040,FGCYBLNDKHH,混合型,富国创业板两年定开混合,,,,,,,暂停申购,暂停赎回,0.15%
161115,YFDSFTLZQLOF,债券型,易方达岁丰添利债券(LOF),1.7320,2.3160,1.7350,2.3190,-0.0030,-0.17,开放申购,开放赎回,0.08%
161116,YFDHJZTRMBA,QDII,易方达黄金主题人民币A,,,0.8450,0.8450,,,限大额,开放赎回,0.10%
161117,YFDYXDKZ,定开债券,易方达永旭定开债,1.0450,1.5610,1.0570,1.5610,0,0.00,暂停申购,暂停赎回,0.06%
161118,YFDZXBZSLOF,股票指数,易方达中小板指数(LOF),1.6618,1.6618,1.6722,1.6722,-0.0104,-0.62,开放申购,开放赎回,0.12%
161119,YFDZZXZZLOFA,债券指数,易方达中债新综指(LOF)A,1.4443,1.4443,1.4431,1.4431,0.0012,0.08,开放申购,开放赎回,0.08%
161120,YFDZZXZZLOFC,债券指数,易方达中债新综指(LOF)C,1.4122,1.4122,1.4110,1.4110,0.0012,0.09,开放申购,开放赎回,0.00%
161121,YFDZZYHZSLOFA,股票指数,易方达中证银行指数(LOF)A,1.1510,1.2672,1.1519,1.2681,-0.0009,-0.08,开放申购,开放赎回,0.10%
161122,YFDZZWDSWKJZSLOFA,股票指数,易方达中证万得生物科技指数(LOF)A,1.0060,1.4269,1.0236,1.4509,-0.0176,-1.72,开放申购,开放赎回,0.10%
161123,YFDZZWDBGCZLOF,股票指数,易方达中证万得并购重组(LOF),1.1507,0.4702,1.1591,0.4732,-0.0084,-0.72,开放申购,开放赎回,0.10%
161124,YFDXGXXGZSA,QDII-指数,易方达香港小型股指数A,1.3146,1.3146,1.3145,1.3145,0.0001,0.01,开放申购,开放赎回,0.12%
161125,YFDBP500ZSRMB,QDII-指数,易方达标普500指数人民币,,,1.5377,1.5377,,,开放申购,开放赎回,0.12%
